"SHIPPING_QUOTE_ID","CART_ID","CUSTOMER_ID","DELIVERY_STREET_ADDRESS","DELIVERY_CITY","DELIVERY_COMPANY","DELIVERY_FIRST_NAME","DELIVERY_LAST_NAME","DELIVERY_POSTCODE","DELIVERY_STATE","DELIVERY_TELEPHONE","SHIPPING_NUMBER_DAYS","FREE_SHIPPING","QUOTE_HANDLING","MODULE","OPTION_CODE","OPTION_DELIVERY_DATE","OPTION_NAME","OPTION_SHIPPING_DATE","ORDER_ID","QUOTE_PRICE","QUOTE_DATE","DELIVERY_COUNTRY_ID","DELIVERY_ZONE_ID"
"1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 20:49:37","NULL","0.00","2018-01-07 20:49:37","13","8"
"50","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 20:54:27","NULL","0.00","2018-01-07 20:54:27","13","8"
"51","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 20:54:42","NULL","0.00","2018-01-07 20:54:42","13","8"
"100","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 20:58:00","NULL","0.00","2018-01-07 20:58:00","13","8"
"101","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:00:34","NULL","0.00","2018-01-07 21:00:34","13","8"
"102","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:20:46","NULL","0.00","2018-01-07 21:20:46","13","8"
"103","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:26:03","NULL","0.00","2018-01-07 21:26:03","13","8"
"104","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:28:08","NULL","0.00","2018-01-07 21:28:08","13","8"
"105","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:33:03","NULL","0.00","2018-01-07 21:33:03","13","8"
"106","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:36:48","NULL","0.00","2018-01-07 21:36:48","13","8"
"107","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:41:56","NULL","0.00","2018-01-07 21:41:56","13","8"
"108","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:44:00","NULL","0.00","2018-01-07 21:44:00","13","8"
"109","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:45:35","NULL","0.00","2018-01-07 21:45:35","13","8"
"110","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:47:33","NULL","0.00","2018-01-07 21:47:33","13","8"
"111","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:49:45","NULL","0.00","2018-01-07 21:49:45","13","8"
"112","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:50:27","NULL","0.00","2018-01-07 21:50:27","13","8"
"113","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:52:47","NULL","0.00","2018-01-07 21:52:47","13","8"
"114","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:57:09","NULL","0.00","2018-01-07 21:57:09","13","8"
"115","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 21:58:32","NULL","0.00","2018-01-07 21:58:32","13","8"
"116","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 22:00:08","NULL","0.00","2018-01-07 22:00:08","13","8"
"117","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 22:01:32","NULL","0.00","2018-01-07 22:01:32","13","8"
"118","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 22:02:43","NULL","0.00","2018-01-07 22:02:43","13","8"
"119","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","false","NULL","storePickUp","storePickUp","NULL","NULL","2018-01-07 22:03:13","NULL","0.00","2018-01-07 22:03:13","13","8"
